pid,tid,url,answerId,duration,coverage
1,2,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly,1063007,152678,1
1,2,https://stackoverflow.com/questions/1063007/how-to-sort-an-array-of-integers-correctly,1063027,34944,0.6345588235294117
1,4,https://stackoverflow.com/questions/19664926/proper-js-currency-format-with-commas-and-decimals,19664926,11215,1
1,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,12462387,20890,0.5786502100840336
1,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,12462414,424882,0.5074185924369747
1,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,38500417,85956,0.7277048319327731
1,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,42523881,6836,1
1,5,https://stackoverflow.com/questions/29651815/format-date-and-subtract-days-using-moment-js,29651815,7332,1
1,6,https://stackoverflow.com/questions/36395563/static-routing-in-node-express,36403370,4927,0.6070903361344537
1,6,https://stackoverflow.com/questions/36395563/static-routing-in-node-express,55853857,21832,1
1,6,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express,36403370,4927,0.6070903361344537
1,6,https://stackoverflow.com/questions/55853857/how-to-serve-static-files-to-different-routes-in-express,55853857,21832,1
1,6,https://stackoverflow.com/questions/26349497/node-express-with-static-html-how-to-route-all-requests-to-index-html,26349497,7099,1
1,6,https://stackoverflow.com/questions/26349497/node-express-with-static-html-how-to-route-all-requests-to-index-html,26638143,221073,0.6645089285714286
1,6,https://stackoverflow.com/questions/26349497/node-express-with-static-html-how-to-route-all-requests-to-index-html,26638278,48085,0.7768513655462185
2,2,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values,979256,31584,1
2,2,https://stackoverflow.com/questions/979256/sorting-an-array-of-objects-by-property-values,979289,32630,1
2,4,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings,149055,4310,1
2,4,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings,149099,11770,1
2,4,https://stackoverflow.com/questions/149055/how-to-format-numbers-as-currency-strings,16233919,27980,1
2,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,6116474,222286,1
2,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,12462387,170390,1
2,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,12462414,440140,1
2,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,38500417,8094,0.5720964566929134
2,3,https://stackoverflow.com/questions/12462318/find-a-value-in-an-array-of-objects-in-javascript,44048398,1520,0.9888041338582677
2,3,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery,6116474,111143,1
2,3,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery,12462387,85195,1
2,3,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery,12462414,220070,1
2,3,https://stackoverflow.com/questions/6116474/how-to-find-if-an-array-contains-a-specific-string-in-javascript-jquery,38500417,4047,0.5720964566929134
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,20547803,140934,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,21514254,5502,0.8487942913385826
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,31251089,4464,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,42523881,135504,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,57222470,51390,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,57222516,14432,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,57222951,15178,0.914800688976378
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,62861485,296380,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,62861508,2002,0.9424827755905512
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,62861559,9088,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,62861562,5504,0.648068405511811
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,62861601,3360,0.9678272637795275
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,62861645,4066,0.9721333661417323
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,67176299,359660,1
2,1,https://stackoverflow.com/questions/3978492/fastest-way-to-duplicate-an-array-in-javascript-slice-vs-for-loop,67176368,6498,0.9872662401574803
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,20547803,70467,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,21514254,2751,0.8487942913385826
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,31251089,2232,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,42523881,67752,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,57222470,25695,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,57222516,7216,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,57222951,7589,0.914800688976378
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,62861485,148190,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,62861508,1001,0.9424827755905512
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,62861559,4544,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,62861562,2752,0.648068405511811
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,62861601,1680,0.9678272637795275
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,62861645,2033,0.9721333661417323
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,67176299,179830,1
2,1,https://stackoverflow.com/questions/42523881/how-to-clone-a-javascript-array-of-objects,67176368,3249,0.9872662401574803
2,1,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain,20547803,70467,1
2,1,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain,21514254,2751,0.8487942913385826
2,1,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain,31251089,2232,1
2,1,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain,42523881,67752,1
2,1,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain,57222470,25695,1
2,1,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain,57222516,7216,1
2,1,https://stackoverflow.com/questions/57222470/how-to-clone-an-array-and-push-new-value-in-a-chain,57222951,7589,0.914800688976378
